Marca temporal,Grupo que está encuestando,Nombre del encuestador,Indica tu género,¿Cuál es tu edad?,¿Cuál es tu peso (en kg)?,¿Cuál es tu estatura (en cm)?,¿En qué carrera estabas matriculado(a) durante el ciclo 2025-2? ,¿En qué ciclo te encuentras actualmente?,¿En cuántos cursos te matriculaste (independientemente de si te retiraste o no) en total durante el 2025-2?,¿Cuántos de esos cursos aprobaste al finalizar el 2025-2?,"¿Cuál fue tu promedio ponderado en el ciclo 2025-2?
Lo puedes ubicar en el sist. académico -> currícula -> mi avance académico -> historial académico","¿Cuál fue tu Ranking en el ciclo 2025-2?
Lo puedes ubicar en el sist. académico -> currícula -> mi avance académico -> historial académico","Aproximadamente, Durante el ciclo 2025-2  ¿Cuántas horas a la semana dedicaste a realizar actividad física?",Durante el ciclo 2025-2  ¿Qué tipo de actividad física o deporte principal realizaste?,¿Dónde realizas principalmente la actividad física?,"Durante el ciclo 2025-2, ¿tus entrenamientos fueron principalmente de tipo individual o colectivo? ",¿Cuántos días a la semana realizaste actividad física en el 2025-2?,"Durante tus sesiones de actividad física en ese ciclo, ¿Cuál fue tu nivel de intensidad física predominante?","Durante el 2025-2, ¿Tu horario de entrenamiento fue principalmente en la: Mañana / Tarde / Noche?",Durante el ciclo 2025-2  ¿Cómo calificarías tu nivel de disciplina o constancia para realizar actividad física?,Durante el ciclo 2025-2  ¿Cuántas horas a la semana sumaban tus clases programadas?,"Aproximadamente, durante el ciclo 2025-2  ¿Cuántas horas a la semana dedicaste al estudio autónomo y realización de tareas (fuera del horario de clases)?","Durante el 2025-II, ¿cuál fue tu nivel de concentración al estudiar?",¿Qué suplementos dietéticos consumías de forma regular? (marca todas las opciones que correspondan)  ,"Durante el ciclo 2025-2, ¿cuántas veces al día ingerías alimentos? (incluye comidas principales y snacks; p. ej., desayuno, snack, almuerzo, cena = 4)  ",Durante el ciclo 2025-2 ¿Llevaste algún tipo de alimentación o dieta específica? ,"Durante el ciclo 2025-2, ¿cuántas horas dormías por noche en promedio?  ",¿Cómo calificarías tu calidad de sueño durante el periodo 2025-2?,Durante el periodo 2025-2  ¿Cómo describirías tu nivel de estrés académico?,Durante el ciclo 2025-2  ¿Qué tan cansado te llegaste a sentir?
21/4/2026 22:57:15,Grupo 8,"Castillo Castro, Rafael Adrián",Masculino,21,80,183,Ingeniería Mecatrónica,10,6,6,16,Décimo,7,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)","En espacios públicos (parques, canchas, piscinas, etc.)",Colectiva,4,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Noche,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",30,5,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Bebidas energéticas,4,Ninguna en especial,6,Regular,Moderado,Alto
21/4/2026 22:59:48,Grupo 4,"Obregon Carhuavilca, Alondra Solange",Femenino,19,90,165,Ciencia de Datos,2,6,6,17.26,Décimo,2,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En casa,Individual,2,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Tarde,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",25,10,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,5,Blanda,6.5,Regular,Moderado,Moderado
21/4/2026 23:03:06,Grupo 2,"Manrique Romero, Oriana Manuela Fe",Femenino,21,48,158,Ciencias de la Computación,7,4,4,14.6,Tercio,2,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En casa,Individual,3,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Tarde,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",6,30,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Multivitamínicos y Minerales,2,Ninguna en especial,5,Regular,Alto,Moderado
21/4/2026 23:04:19,Grupo 8,"Castillo Castro, Rafael Adrián",Masculino,20,68,164,Ciencias de la Computación,3,6,6,16.7,Tercio,5,Artes marciales / Deportes de contacto,En gimnasio,Colectiva,4,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Mañana,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",30,20,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Baja en carbohidratos,6,Regular,Moderado,Moderado
21/4/2026 23:07:20,Grupo 8,"Castillo Castro, Rafael Adrián",Masculino,18,51,172,Ingeniería Mecatrónica,3,6,4,11,Tercio inferior,36,Caminar ,"En espacios públicos (parques, canchas, piscinas, etc.)",Individual,6,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Mañana,Alta: Mantuve mi rutina de manera estricta y constante todo el ciclo.,20,2,Bajo: Me distraigo con facilidad y me cuesta mantener la atención durante el estudio.,Bebidas rehidratantes,3,Ninguna en especial,4,Mala,Bajo,Muy alto
21/4/2026 23:07:39,Grupo 4,"Obregon Carhuavilca, Alondra Solange",Masculino,18,80,172,Ciencias de la Computación,5,6,6,14.58,Tercio medio,3,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En casa,Individual,10,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Mañana,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",0,8,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,3,Ninguna en especial,6,Regular,Moderado,Muy alto
21/4/2026 23:08:18,Grupo 5,"Monsalve Caycho, Christopher Jordan",Masculino,17,60.1,167,Ingeniería Civil,3,6,5,15.19,Tercio,2,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En casa,Individual,2,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Mañana,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",25,16,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Bebidas energéticas,3,Ninguna en especial,9,Buena,Moderado,Muy alto
21/4/2026 23:10:42,Grupo 2,"Manrique Romero, Oriana Manuela Fe",Femenino,21,55,165,Ciencias de la Computación,3,5,5,14.81,Tercio medio,5,Gimnasio / Levantamiento de pesas,En gimnasio,Colectiva,4,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Mañana,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",24,14,Alto: Mantengo la concentración durante la mayor parte del tiempo sin distracciones significativas.,Bebidas rehidratantes,4,Alta en proteínas,7,Regular,Bajo,Moderado
21/4/2026 23:14:15,Grupo 8,"Castillo Castro, Rafael Adrián",Masculino,25,69,1.65,Ciencias de la Computación,3,5,5,12,Décimo,4,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)","En espacios públicos (parques, canchas, piscinas, etc.)",Individual,2,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Tarde,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",4,10,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Bebidas rehidratantes,3,Ninguna en especial,3,Mala,Alto,Alto
21/4/2026 23:15:53,Grupo 8,"Castillo Castro, Rafael Adrián",Masculino,20,70,175,Ciencias de la Computación,3,6,4,15.7,Décimo,1,No realizo actividad fisica,,,,,,,28,10,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Ninguna en especial,5,Mala,Alto,Alto
